
irr,tamb,tmodule,wind,pack
599,33.28,42.06,1.3,30.55
602,33.28,42.22,1.2,30.94
612,33.53,42.46,1.2,31.31
615,33.93,43.03,1.1,31.52
622,33.93,43.03,1.0,31.6
625,33.69,43.03,1.2,31.77
627,33.69,43.28,1.2,31.98
634,33.93,43.6,1.1,32.0
637,34.5,44.01,1.1,32.18
639,34.34,44.25,1.0,32.5
647,34.75,44.5,1.0,32.58
647,34.75,44.9,1.1,32.69
649,34.91,45.06,1.1,32.76
651,35.07,45.31,1.1,33.08
656,35.31,45.47,1.0,33.27
661,35.48,45.88,1.0,33.37
656,35.88,46.12,1.0,33.34
664,35.88,46.12,1.0,33.49
669,36.13,46.53,1.0,33.66
669,35.88,46.53,1.0,33.9
673,36.13,46.69,1.1,33.86
678,35.88,46.85,1.1,33.97
681,36.29,47.26,1.2,34.19
688,36.29,47.26,1.2,34.3
686,36.53,47.91,1.3,34.64
690,36.53,47.66,1.3,34.74
700,37.1,47.91,1.3,35.17
703,37.26,47.91,1.3,35.42
710,37.26,48.07,1.3,35.54
715,37.1,47.66,1.4,35.65
717,36.7,47.66,1.4,35.92
722,36.29,48.07,1.4,35.87
722,36.29,47.91,1.4,36.06
725,36.29,48.31,1.4,36.3
730,36.29,48.48,1.3,36.51
727,36.7,48.64,1.2,36.61
732,36.29,48.48,1.3,36.79
737,36.86,48.48,1.4,36.83
737,36.7,48.64,1.3,36.83
742,36.53,48.64,1.3,37.05
739,36.86,49.29,1.3,36.93
742,37.26,49.45,1.3,37.18
744,37.67,49.29,1.3,36.64
744,37.91,49.45,1.3,37.29
755,38.08,49.86,1.4,37.62
755,37.91,49.45,1.3,37.59
757,37.67,49.7,1.3,37.9
760,37.67,50.1,1.3,38.18
760,37.91,50.26,1.3,38.13
760,37.51,49.7,1.3,37.9
772,36.86,49.86,1.4,38.27
774,37.1,49.86,1.5,38.59
770,36.86,49.7,1.5,38.57
779,37.26,49.7,1.6,38.64
782,36.86,49.29,1.6,38.87
784,36.86,49.45,1.7,39.18
782,36.53,49.05,1.7,38.97
784,37.1,49.86,1.9,39.01
784,37.26,50.1,1.8,39.24
784,37.51,50.26,1.7,39.27
787,37.91,50.43,1.7,39.4
799,37.26,49.86,1.8,39.7
809,37.1,49.86,1.9,40.31
806,37.51,50.43,1.9,40.49
811,37.67,50.43,1.8,40.39
809,37.1,50.1,1.8,40.36
814,36.86,50.1,1.9,40.6
818,37.26,50.43,1.9,41.13
811,37.26,51.08,2.1,41.02
816,38.08,51.81,2.0,40.99
818,38.08,52.05,1.9,41.14
826,37.91,52.05,1.9,41.36
826,38.24,51.81,1.9,41.59
